id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,winner
318,2012,Delhi,10-04-2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,,Delhi Daredevils
319,2012,Mumbai,11-04-2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,,Mumbai Indians
320,2012,Chennai,12-04-2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,,Chennai Super Kings
321,2012,Chandigarh,12-04-2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,,Kings XI Punjab
322,2012,Kolkata,13-04-2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,,Kolkata Knight Riders
323,2012,Delhi,19-04-2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,,Delhi Daredevils
324,2012,Pune,14-04-2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,,Pune Warriors
325,2012,Kolkata,15-04-2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,,Kings XI Punjab
326,2012,Bangalore,15-04-2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,,Rajasthan Royals
327,2012,Mumbai,16-04-2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,,Delhi Daredevils
328,2012,Jaipur,17-04-2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,,Rajasthan Royals
329,2012,Bangalore,17-04-2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,,Royal Challengers Bangalore
330,2012,Chandigarh,18-04-2012,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,,Kolkata Knight Riders
331,2012,Hyderabad,10-05-2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,,Delhi Daredevils
332,2012,Chennai,19-04-2012,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,,Chennai Super Kings
333,2012,Chandigarh,20-04-2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,,Royal Challengers Bangalore
334,2012,Chennai,21-04-2012,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,,Chennai Super Kings
335,2012,Delhi,21-04-2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,,Pune Warriors
336,2012,Mumbai,22-04-2012,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,,Kings XI Punjab
337,2012,Cuttack,22-04-2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,,Kolkata Knight Riders
338,2012,Jaipur,23-04-2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,,Royal Challengers Bangalore
339,2012,Pune,24-04-2012,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,,Delhi Daredevils
340,2012,Chandigarh,25-04-2012,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,,Mumbai Indians
341,2012,Pune,26-04-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,,Deccan Chargers
342,2012,Delhi,27-04-2012,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,,Delhi Daredevils
343,2012,Chennai,28-04-2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,,Kings XI Punjab
344,2012,Kolkata,28-04-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,,Kolkata Knight Riders
345,2012,Delhi,29-04-2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,,Delhi Daredevils
346,2012,Mumbai,29-04-2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,,Mumbai Indians
347,2012,Chennai,30-04-2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,,Kolkata Knight Riders
348,2012,Cuttack,01-05-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,,Deccan Chargers
349,2012,Jaipur,01-05-2012,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,,Delhi Daredevils
350,2012,Bangalore,02-05-2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,,Kings XI Punjab
351,2012,Pune,03-05-2012,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,,Mumbai Indians
352,2012,Chennai,04-05-2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,,Chennai Super Kings
353,2012,Kolkata,05-05-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,,Kolkata Knight Riders
354,2012,Chandigarh,05-05-2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,0,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,,Rajasthan Royals
355,2012,Mumbai,06-05-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,,Mumbai Indians
356,2012,Bangalore,06-05-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,,Royal Challengers Bangalore
357,2012,Delhi,07-05-2012,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,,Kolkata Knight Riders
358,2012,Pune,08-05-2012,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,,Rajasthan Royals
359,2012,Hyderabad,08-05-2012,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,,Kings XI Punjab
360,2012,Mumbai,09-05-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,,Royal Challengers Bangalore
361,2012,Jaipur,10-05-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,,Chennai Super Kings
362,2012,Pune,11-05-2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,,Royal Challengers Bangalore
363,2012,Kolkata,12-05-2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,,Mumbai Indians
364,2012,Chennai,12-05-2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,,Chennai Super Kings
365,2012,Jaipur,13-05-2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,Rajasthan Royals
366,2012,Chandigarh,13-05-2012,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,normal,0,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,,Kings XI Punjab
367,2012,Bangalore,14-05-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,,Mumbai Indians
368,2012,Kolkata,14-05-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,,Chennai Super Kings
369,2012,Delhi,15-05-2012,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,0,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,,Delhi Daredevils
370,2012,Mumbai,16-05-2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,,Kolkata Knight Riders
371,2012,Dharamsala,17-05-2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,,Kings XI Punjab
372,2012,Delhi,17-05-2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,,Royal Challengers Bangalore
373,2012,Hyderabad,18-05-2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,Deccan Chargers
374,2012,Dharamsala,19-05-2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,,Delhi Daredevils
375,2012,Pune,19-05-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,,Kolkata Knight Riders
376,2012,Hyderabad,20-05-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,Deccan Chargers
377,2012,Jaipur,20-05-2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,,Mumbai Indians
378,2012,Pune,22-05-2012,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,,Kolkata Knight Riders
379,2012,Bangalore,23-05-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,38,0,MS Dhoni,M Chinnaswamy Stadium,BF Bowden,HDPK Dharmasena,,Chennai Super Kings
380,2012,Chennai,25-05-2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,,Chennai Super Kings
381,2012,Chennai,27-05-2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk",BF Bowden,SJA Taufel,,Kolkata Knight Riders
382,2013,Kolkata,03-04-2013,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,,Kolkata Knight Riders
383,2013,Bangalore,04-04-2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,2,0,CH Gayle,M Chinnaswamy Stadium,VA Kulkarni,C Shamshuddin,,Royal Challengers Bangalore
384,2013,Hyderabad,05-04-2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,Sunrisers Hyderabad
385,2013,Delhi,06-04-2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,,Rajasthan Royals
386,2013,Chennai,06-04-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,,Mumbai Indians
387,2013,Pune,07-04-2013,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,0,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,SJA Taufel,,Kings XI Punjab
388,2013,Hyderabad,07-04-2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,S Ravi,,Sunrisers Hyderabad
389,2013,Jaipur,08-04-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,19,0,SK Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,,Rajasthan Royals
390,2013,Mumbai,09-04-2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,44,0,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,,Mumbai Indians
391,2013,Chandigarh,10-04-2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,,Chennai Super Kings
392,2013,Bangalore,11-04-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,8,CH Gayle,M Chinnaswamy Stadium,Asad Rauf,AK Chaudhary,,Royal Challengers Bangalore
393,2013,Pune,11-04-2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,0,7,AJ Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,,Pune Warriors
394,2013,Delhi,12-04-2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,,Sunrisers Hyderabad
395,2013,Mumbai,13-04-2013,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,41,0,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,,Mumbai Indians
396,2013,Chennai,13-04-2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,,Chennai Super Kings
397,2013,Kolkata,14-04-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,,Kolkata Knight Riders
398,2013,Jaipur,14-04-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,,Rajasthan Royals
399,2013,Chennai,15-04-2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,,Pune Warriors
400,2013,Chandigarh,16-04-2013,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,,Kings XI Punjab
401,2013,Bangalore,16-04-2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,,Royal Challengers Bangalore
402,2013,Pune,17-04-2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,,Sunrisers Hyderabad
403,2013,Jaipur,17-04-2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,,Rajasthan Royals
404,2013,Delhi,18-04-2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,,Chennai Super Kings
405,2013,Hyderabad,19-04-2013,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan,,Sunrisers Hyderabad
406,2013,Kolkata,20-04-2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,,Chennai Super Kings
407,2013,Bangalore,20-04-2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,,Royal Challengers Bangalore
408,2013,Delhi,21-04-2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,,Delhi Daredevils
409,2013,Chandigarh,21-04-2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,,Kings XI Punjab
410,2013,Chennai,22-04-2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,,Chennai Super Kings
411,2013,Bangalore,23-04-2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,,Royal Challengers Bangalore
412,2013,Dharamsala,16-05-2013,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,,Kings XI Punjab
413,2013,Kolkata,24-04-2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,,Mumbai Indians
414,2013,Chennai,25-04-2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,,Chennai Super Kings
415,2013,Kolkata,26-04-2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,,Kolkata Knight Riders
416,2013,Jaipur,27-04-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,,Rajasthan Royals
417,2013,Mumbai,27-04-2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,,Mumbai Indians
418,2013,Chennai,28-04-2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,,Chennai Super Kings
419,2013,Raipur,28-04-2013,Delhi Daredevils,Pune Warriors,Pune Warriors,field,normal,0,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,,Delhi Daredevils
420,2013,Jaipur,29-04-2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,,Rajasthan Royals
421,2013,Mumbai,29-04-2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,,Mumbai Indians
422,2013,Pune,30-04-2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,,Chennai Super Kings
423,2013,Hyderabad,01-05-2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,,Sunrisers Hyderabad
424,2013,Raipur,01-05-2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,,Delhi Daredevils
425,2013,Chennai,02-05-2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,,Chennai Super Kings
426,2013,Pune,02-05-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,0,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,,Royal Challengers Bangalore
427,2013,Kolkata,03-05-2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,,Kolkata Knight Riders
428,2013,Hyderabad,04-05-2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,,Sunrisers Hyderabad
429,2013,Bangalore,14-05-2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,,Kings XI Punjab
430,2013,Mumbai,05-05-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,,Mumbai Indians
431,2013,Jaipur,05-05-2013,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,,Rajasthan Royals
432,2013,Bangalore,09-04-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,,Royal Challengers Bangalore
433,2013,Jaipur,07-05-2013,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,,Rajasthan Royals
434,2013,Mumbai,07-05-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,,Mumbai Indians
435,2013,Hyderabad,08-05-2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,,Chennai Super Kings
436,2013,Chandigarh,09-05-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,,Rajasthan Royals
437,2013,Pune,09-05-2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,,Kolkata Knight Riders
438,2013,Delhi,10-05-2013,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,,Royal Challengers Bangalore
439,2013,Pune,11-05-2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,,Mumbai Indians
440,2013,Chandigarh,11-05-2013,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,,Sunrisers Hyderabad
441,2013,Ranchi,12-05-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,,Kolkata Knight Riders
442,2013,Jaipur,12-05-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,,Rajasthan Royals
443,2013,Delhi,23-04-2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,,Kings XI Punjab
